burst_name,make,model,srgb_size,final_size,size_mismatch,dy,dx
0543_20150918_175650_498,Huawei,angler,(2448x 3264x 3),(2448x 3264x 3),False,0,0
5a9e_20141006_102246_788,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20141007_135000_213,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20141007_173502_483,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20141007_173602_240,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20141010_173648_475,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20141010_180937_237,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20150328_160520_398,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20150328_171926_643,LGE,Nexus 5,(3280x 2464x 3),(3280x 2464x 3),False,0,0
5a9e_20150328_173812_141,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20150403_093136_401,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20150403_162152_482,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20150403_181327_943,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
5a9e_20150404_132155_318,LGE,Nexus 5,(3280x 2464x 3),(3280x 2464x 3),False,0,0
c1b1_20141007_235657_307,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150109_171200_810,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150222_151204_652,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150226_144326_422,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150408_154240_395,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150408_183259_217,LGE,Nexus 5,(3280x 2464x 3),(3280x 2464x 3),False,0,0
c1b1_20150424_191810_374,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150424_192545_763,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150424_192800_654,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150424_201100_596,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150424_203526_981,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
c1b1_20150424_203727_155,LGE,Nexus 5,(2464x 3280x 3),(2464x 3280x 3),False,0,0
